id,workshop_use,source_language,source,target_language,target,english_support_note,suggested_accuracy_subtype,suggested_reason,gold_accuracy_subtype,gold_severity,gold_reason
WSLQA-NL-001,live_annotation,English,"Waterproof LED lamp, 5 W",Dutch,"Waterdichte LED-lamp, 5 W","Back-translation: Waterproof LED lamp, 5 W.",none,The target appears to preserve the source meaning.,none,none,"The target preserves the product type, the waterproof property, and the wattage."
WSLQA-NL-002,live_annotation,English,Set of 4 glasses,Dutch,Set van 6 glazen,Back-translation: Set of 6 glasses.,mistranslation,The quantity looks different.,mistranslation,major,"The target changes the quantity from 4 to 6, which could mislead the buyer."
WSLQA-NL-003,live_annotation,English,"Waterproof powerbank, 10000 mAh",Dutch,"Powerbank, 10000 mAh","Back-translation: Powerbank, 10000 mAh.",omission,The waterproof property seems to be missing.,omission,major,"The target omits the waterproof property, a meaningful product feature present in the source."
WSLQA-NL-004,prepared_gold,English,Coffee machine with filter,Dutch,Koffiemachine met filter en thermometer,Back-translation: Coffee machine with filter and thermometer.,addition,The target seems to add a component.,addition,major,"The target adds a thermometer, a component not present in the source."
WSLQA-NL-005,prepared_gold,English,Battery charger with cable,Dutch,Battery charger met kabel,"Back-translation: Battery charger with cable, with 'Battery charger' left in English.",untranslated,Part of the title remains in English.,untranslated,minor,"A translatable product phrase is left in English, but the core meaning is still understandable."
WSLQA-NL-006,live_annotation,English,GreenLeaf tea,Dutch,GroenBlad thee,"Back-translation: GreenLeaf tea, with the brand rendered literally as Green-Leaf.",mistranslation,The brand meaning looks changed.,unnecessarily_translated,major,The protected brand name GreenLeaf is translated instead of remaining unchanged.
WSLQA-NL-007,live_annotation,English,"USB-C adapter, 5 V",Dutch,"USB-C-adapter, 50 V","Back-translation: USB-C adapter, 50 V.",mistranslation,The voltage looks different.,mistranslation,critical,"The target states 50 V instead of 5 V, a tenfold voltage error that could damage devices or create a safety hazard."
WSLQA-NL-008,prepared_gold,English,"Vitamin C, 2 tablets per day",Dutch,"Vitamine C, 20 tabletten per dag","Back-translation: Vitamin C, 20 tablets per day.",none,The target appears to preserve the source meaning.,mistranslation,critical,"The target states 20 tablets per day instead of 2, a tenfold dosage error with a health risk."
WSLQA-NL-009,live_annotation,English,"Glass bottle, 1,500 ml",Dutch,"Glazen fles, 1.500 ml","Back-translation: Glass bottle, 1,500 ml. NOTE: in Dutch the period is the thousands separator, so 1.500 ml equals 1,500 ml.",mistranslation,The number formatting looks changed.,none,none,"The value is unchanged: Dutch uses a period as the thousands separator, so 1.500 ml is identical to 1,500 ml."
WSLQA-NL-010,prepared_gold,English,Light blue cotton T-shirt,Dutch,Blauw katoenen T-shirt,Back-translation: Blue cotton T-shirt.,omission,A shade detail seems to be missing.,omission,minor,"The target omits 'light', a low-impact colour detail."
WSLQA-NL-011,prepared_gold,English,"Shampoo, 250 ml",Dutch,"Shampoo en balsem, 250 ml","Back-translation: Shampoo and conditioner, 250 ml (balsem = conditioner).",addition,The target seems to add a product.,addition,major,"The target adds 'balsem' (conditioner), a second product not present in the source."
WSLQA-NL-012,prepared_gold,English,Pack of 3 white cotton socks,Dutch,Set van 3 witte katoenen sokken,Back-translation: Set of 3 white cotton socks ('Pack' rendered as 'Set').,mistranslation,'Pack' is rendered as 'Set'.,none,none,"The target preserves quantity, colour, material, and product type; 'Set' is an acceptable equivalent of 'Pack'."